x,rhoTime_1e-05,rhoRate_1e-05,rho
-7.5e+06,NaN,NaN,5.6517e-21
-7.4805e+06,NaN,NaN,1.1777e-20
-7.4609e+06,NaN,NaN,2.453e-20
-7.4414e+06,NaN,NaN,5.1071e-20
-7.4219e+06,NaN,NaN,1.0628e-19
-7.4023e+06,NaN,NaN,2.2108e-19
-7.3828e+06,NaN,NaN,4.5967e-19
-7.3633e+06,NaN,NaN,9.553e-19
-7.3438e+06,NaN,NaN,1.9844e-18
-7.3242e+06,NaN,NaN,4.1201e-18
-7.3047e+06,NaN,NaN,8.5501e-18
-7.2852e+06,NaN,NaN,1.7734e-17
-7.2656e+06,NaN,NaN,3.6765e-17
-7.2461e+06,NaN,NaN,7.6178e-17
-7.2266e+06,NaN,NaN,1.5776e-16
-7.207e+06,NaN,NaN,3.2652e-16
-7.1875e+06,NaN,NaN,6.7545e-16
-7.168e+06,NaN,NaN,1.3964e-15
-7.1484e+06,NaN,NaN,2.8853e-15
-7.1289e+06,NaN,NaN,5.958e-15
-7.1094e+06,NaN,NaN,1.2295e-14
-7.0898e+06,NaN,NaN,2.5357e-14
-7.0703e+06,NaN,NaN,5.226e-14
-7.0508e+06,NaN,NaN,1.0763e-13
-7.0313e+06,NaN,NaN,2.2152e-13
-7.0117e+06,NaN,NaN,4.556e-13
-6.9922e+06,NaN,NaN,9.3631e-13
-6.9727e+06,NaN,NaN,1.9228e-12
-6.9531e+06,NaN,NaN,3.9453e-12
-6.9336e+06,NaN,NaN,8.0888e-12
-6.9141e+06,NaN,NaN,1.657e-11
-6.8945e+06,NaN,NaN,3.3912e-11
-6.875e+06,NaN,NaN,6.9341e-11
-6.8555e+06,NaN,NaN,1.4165e-10
-6.8359e+06,NaN,NaN,2.8906e-10
-6.8164e+06,NaN,NaN,5.8928e-10
-6.7969e+06,NaN,NaN,1.2e-09
-6.7773e+06,NaN,NaN,2.4407e-09
-6.7578e+06,NaN,NaN,4.9583e-09
-6.7383e+06,NaN,NaN,1.006e-08
-6.7188e+06,NaN,NaN,2.0383e-08
-6.6992e+06,NaN,NaN,4.124e-08
-6.6797e+06,NaN,NaN,8.3314e-08
-6.6602e+06,NaN,NaN,1.6804e-07
-6.6406e+06,NaN,NaN,3.3834e-07
-6.6211e+06,NaN,NaN,6.7998e-07
-6.6016e+06,NaN,NaN,1.3639e-06
-6.582e+06,NaN,NaN,2.7297e-06
-6.5625e+06,NaN,NaN,5.4509e-06
-6.543e+06,NaN,NaN,1.0857e-05
-6.5234e+06,NaN,NaN,2.1566e-05
-6.5039e+06,NaN,NaN,4.2706e-05
-6.4844e+06,NaN,NaN,8.4283e-05
-6.4648e+06,NaN,NaN,0.00016571
-6.4453e+06,NaN,NaN,0.0003244
-6.4258e+06,NaN,NaN,0.00063187
-6.4063e+06,NaN,NaN,0.0012234
-6.3867e+06,NaN,NaN,0.0023514
-6.3672e+06,NaN,NaN,0.0044768
-6.3477e+06,NaN,NaN,0.0084137
-6.3281e+06,NaN,NaN,0.015524
-6.3086e+06,NaN,NaN,0.027867
-6.2891e+06,NaN,NaN,0.047993
-6.2695e+06,NaN,NaN,0.07775
-6.25e+06,NaN,NaN,0.11579
-6.2305e+06,NaN,NaN,0.15562
-6.2109e+06,NaN,NaN,0.18803
-6.1914e+06,NaN,NaN,0.20734
-6.1719e+06,NaN,NaN,0.21422
-6.1523e+06,NaN,NaN,0.213
-6.1328e+06,NaN,NaN,0.20795
-6.1133e+06,NaN,NaN,0.20189
-6.0938e+06,NaN,NaN,0.19624
-6.0742e+06,NaN,NaN,0.19159
-6.0547e+06,NaN,NaN,0.18807
-6.0352e+06,NaN,NaN,0.18561
-6.0156e+06,NaN,NaN,0.18403
-5.9961e+06,NaN,NaN,0.18314
-5.9766e+06,NaN,NaN,0.18275
-5.957e+06,NaN,NaN,0.18268
-5.9375e+06,NaN,NaN,0.18281
-5.918e+06,NaN,NaN,0.18303
-5.8984e+06,NaN,NaN,0.18327
-5.8789e+06,NaN,NaN,0.1835
-5.8594e+06,NaN,NaN,0.18369
-5.8398e+06,NaN,NaN,0.18383
-5.8203e+06,NaN,NaN,0.18393
-5.8008e+06,NaN,NaN,0.18399
-5.7813e+06,NaN,NaN,0.18402
-5.7617e+06,NaN,NaN,0.18403
-5.7422e+06,NaN,NaN,0.18403
-5.7227e+06,NaN,NaN,0.18402
-5.7031e+06,NaN,NaN,0.18401
-5.6836e+06,NaN,NaN,0.184
-5.6641e+06,NaN,NaN,0.18399
-5.6445e+06,NaN,NaN,0.18398
-5.625e+06,NaN,NaN,0.18398
-5.6055e+06,NaN,NaN,0.18397
-5.5859e+06,NaN,NaN,0.18397
-5.5664e+06,NaN,NaN,0.18397
-5.5469e+06,NaN,NaN,0.18397
-5.5273e+06,NaN,NaN,0.18397
-5.5078e+06,NaN,NaN,0.18397
-5.4883e+06,NaN,NaN,0.18397
-5.4688e+06,NaN,NaN,0.18397
-5.4492e+06,NaN,NaN,0.18397
-5.4297e+06,NaN,NaN,0.18397
-5.4102e+06,NaN,NaN,0.18397
-5.3906e+06,NaN,NaN,0.18397
-5.3711e+06,NaN,NaN,0.18397
-5.3516e+06,NaN,NaN,0.18397
-5.332e+06,NaN,NaN,0.18397
-5.3125e+06,NaN,NaN,0.18397
-5.293e+06,NaN,NaN,0.18397
-5.2734e+06,NaN,NaN,0.18397
-5.2539e+06,NaN,NaN,0.18397
-5.2344e+06,NaN,NaN,0.18397
-5.2148e+06,NaN,NaN,0.18397
-5.1953e+06,NaN,NaN,0.18397
-5.1758e+06,NaN,NaN,0.18397
-5.1563e+06,NaN,NaN,0.18397
-5.1367e+06,NaN,NaN,0.18397
-5.1172e+06,NaN,NaN,0.18397
-5.0977e+06,NaN,NaN,0.18397
-5.0781e+06,NaN,NaN,0.18397
-5.0586e+06,NaN,NaN,0.18397
-5.0391e+06,NaN,NaN,0.18397
-5.0195e+06,NaN,NaN,0.18397
-5e+06,NaN,NaN,0.18397
-4.9805e+06,NaN,NaN,0.18397
-4.9609e+06,NaN,NaN,0.18397
-4.9414e+06,NaN,NaN,0.18397
-4.9219e+06,NaN,NaN,0.18397
-4.9023e+06,NaN,NaN,0.18397
-4.8828e+06,NaN,NaN,0.18397
-4.8633e+06,NaN,NaN,0.18397
-4.8438e+06,NaN,NaN,0.18397
