x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-1.6016e+06,NaN,NaN,0.44303
-1.582e+06,NaN,NaN,0.44303
-1.5625e+06,NaN,NaN,0.44303
-1.543e+06,NaN,NaN,0.44303
-1.5234e+06,NaN,NaN,0.44303
-1.5039e+06,NaN,NaN,0.44303
-1.4844e+06,NaN,NaN,0.44303
-1.4648e+06,NaN,NaN,0.44303
-1.4453e+06,NaN,NaN,0.44303
-1.4258e+06,NaN,NaN,0.44303
-1.4063e+06,NaN,NaN,0.44303
-1.3867e+06,NaN,NaN,0.44303
-1.3672e+06,NaN,NaN,0.44303
-1.3477e+06,NaN,NaN,0.44303
-1.3281e+06,NaN,NaN,0.44303
-1.3086e+06,NaN,NaN,0.44303
-1.2891e+06,NaN,NaN,0.44303
-1.2695e+06,NaN,NaN,0.44303
-1.25e+06,NaN,NaN,0.44303
-1.2305e+06,NaN,NaN,0.44303
-1.2109e+06,NaN,NaN,0.44303
-1.1914e+06,NaN,NaN,0.44303
-1.1719e+06,NaN,NaN,0.44303
-1.1523e+06,NaN,NaN,0.44303
-1.1328e+06,NaN,NaN,0.44303
-1.1133e+06,NaN,NaN,0.44303
-1.0938e+06,NaN,NaN,0.44303
-1.0742e+06,NaN,NaN,0.44303
-1.0547e+06,NaN,NaN,0.44303
-1.0352e+06,NaN,NaN,0.44303
-1.0156e+06,NaN,NaN,0.44303
-9.9609e+05,NaN,NaN,0.44303
-9.7656e+05,NaN,NaN,0.44303
-9.5703e+05,NaN,NaN,0.44303
-9.375e+05,NaN,NaN,0.44303
-9.1797e+05,NaN,NaN,0.44303
-8.9844e+05,NaN,NaN,0.44303
-8.7891e+05,NaN,NaN,0.44303
-8.5938e+05,NaN,NaN,0.44303
-8.3984e+05,NaN,NaN,0.44303
-8.2031e+05,NaN,NaN,0.44303
-8.0078e+05,NaN,NaN,0.44303
-7.8125e+05,NaN,NaN,0.44303
-7.6172e+05,NaN,NaN,0.44303
-7.4219e+05,NaN,NaN,0.44303
-7.2266e+05,NaN,NaN,0.44303
-7.0313e+05,NaN,NaN,0.44303
-6.8359e+05,NaN,NaN,0.44303
-6.6406e+05,NaN,NaN,0.44303
-6.4453e+05,NaN,NaN,0.44303
-6.25e+05,NaN,NaN,0.44303
-6.0547e+05,NaN,NaN,0.44303
-5.8594e+05,NaN,NaN,0.44303
-5.6641e+05,NaN,NaN,0.44303
-5.4688e+05,NaN,NaN,0.44303
-5.2734e+05,NaN,NaN,0.44303
-5.0781e+05,NaN,NaN,0.44303
-4.8828e+05,NaN,NaN,0.44303
-4.6875e+05,NaN,NaN,0.44303
-4.4922e+05,NaN,NaN,0.44303
-4.2969e+05,NaN,NaN,0.44303
-4.1016e+05,NaN,NaN,0.44303
-3.9063e+05,NaN,NaN,0.44303
-3.7109e+05,NaN,NaN,0.44303
-3.5156e+05,NaN,NaN,0.44303
-3.3203e+05,NaN,NaN,0.44303
-3.125e+05,NaN,NaN,0.44303
-2.9297e+05,NaN,NaN,0.44303
-2.7344e+05,NaN,NaN,0.44303
-2.5391e+05,NaN,NaN,0.44303
-2.3438e+05,NaN,NaN,0.44303
-2.1484e+05,NaN,NaN,0.44303
-1.9531e+05,NaN,NaN,0.44303
-1.7578e+05,NaN,NaN,0.44303
-1.5625e+05,NaN,NaN,0.44303
-1.3672e+05,NaN,NaN,0.44303
-1.1719e+05,NaN,NaN,0.44303
-97656,NaN,NaN,0.44303
-78125,NaN,NaN,0.44303
-58594,NaN,NaN,0.44303
-39063,NaN,NaN,0.44303
-19531,NaN,NaN,0.44303
0,0.0050003,NaN,0.44303
19531,0.020001,1302,0.44303
39063,0.035002,1302,0.44303
58594,0.060003,781.21,0.44303
78125,0.10501,434.01,0.44303
97656,0.18501,244.13,0.44303
1.1719e+05,0.30502,162.75,0.44303
1.3672e+05,0.46002,126,0.44303
1.5625e+05,0.64003,108.5,0.44303
1.7578e+05,0.83504,100.16,0.44303
1.9531e+05,1.0451,93.001,0.44303
2.1484e+05,1.2651,88.774,0.44303
2.3438e+05,1.4851,88.774,0.44303
2.5391e+05,1.7101,86.801,0.44303
2.7344e+05,1.9351,86.801,0.44303
2.9297e+05,2.1601,86.801,0.44303
3.125e+05,2.3851,86.801,0.44303
3.3203e+05,2.6101,86.801,0.44303
3.5156e+05,2.8351,86.801,0.44303
3.7109e+05,3.0602,86.801,0.44303
3.9063e+05,3.2852,86.801,0.44303
4.1016e+05,3.5102,86.801,0.44303
4.2969e+05,3.7352,86.801,0.44303
4.4922e+05,3.9602,86.801,0.44303
4.6875e+05,4.1802,88.774,0.44303
4.8828e+05,4.4052,86.801,0.44303
5.0781e+05,4.6302,86.801,0.44303
5.2734e+05,4.8502,88.774,0.44303
5.4688e+05,5.0753,86.801,0.44303
5.6641e+05,5.3003,86.801,0.44303
5.8594e+05,5.5203,88.774,0.44303
6.0547e+05,5.7453,86.801,0.44303
6.25e+05,5.9653,88.774,0.44303
6.4453e+05,6.1853,88.774,0.44303
6.6406e+05,6.4103,86.801,0.44303
6.8359e+05,6.6303,88.774,0.44303
7.0313e+05,6.8553,86.801,0.44303
7.2266e+05,7.0754,88.774,0.44303
7.4219e+05,7.2954,88.774,0.44303
7.6172e+05,7.5154,88.774,0.44303
7.8125e+05,7.7354,88.774,0.44303
8.0078e+05,7.9604,86.801,0.44303
8.2031e+05,8.1804,88.774,0.44303
8.3984e+05,8.4004,88.774,0.44303
8.5938e+05,8.6204,88.774,0.44303
8.7891e+05,8.8404,88.774,0.44303
8.9844e+05,9.0605,88.774,0.44303
9.1797e+05,9.2805,88.774,0.44303
9.375e+05,9.5005,88.774,0.44303
9.5703e+05,9.7205,88.774,0.44303
9.7656e+05,9.9405,88.774,0.44303
9.9609e+05,10.161,88.774,0.44303
1.0156e+06,10.381,88.774,0.44303
1.0352e+06,10.601,88.774,0.44303
1.0547e+06,10.821,88.774,0.44303
1.0742e+06,11.041,88.774,0.44303
1.0938e+06,11.256,90.838,0.44303
1.1133e+06,11.476,88.774,0.44303
1.1328e+06,11.696,88.774,0.44303
1.1523e+06,11.916,88.774,0.44303
1.1719e+06,12.136,88.774,0.44303
1.1914e+06,12.351,90.838,0.44303
1.2109e+06,12.571,88.774,0.44303
1.2305e+06,12.791,88.774,0.44303
1.25e+06,13.011,88.774,0.44303
1.2695e+06,13.226,90.838,0.44303
1.2891e+06,13.446,88.774,0.44303
1.3086e+06,13.666,88.774,0.44303
1.3281e+06,13.881,90.838,0.44303
1.3477e+06,14.101,88.774,0.44303
1.3672e+06,14.321,88.774,0.44303
1.3867e+06,14.536,90.838,0.44303
1.4063e+06,14.756,88.774,0.44303
1.4258e+06,14.976,88.774,0.44303
1.4453e+06,15.191,90.838,0.44303
1.4648e+06,15.411,88.774,0.44303
1.4844e+06,15.626,90.838,0.44303
1.5039e+06,15.846,88.774,0.44303
1.5234e+06,16.066,88.774,0.44303
1.543e+06,16.281,90.838,0.44303
1.5625e+06,16.501,88.774,0.44303
1.582e+06,16.716,90.838,0.44303
1.6016e+06,16.936,88.774,0.44303
1.6211e+06,17.151,90.838,0.44303
1.6406e+06,17.371,88.774,0.44303
1.6602e+06,17.586,90.838,0.44303
1.6797e+06,17.806,88.774,0.44303
1.6992e+06,18.021,90.838,0.44303
1.7188e+06,18.241,88.774,0.44303
1.7383e+06,18.456,90.838,0.44303
1.7578e+06,18.676,88.774,0.44303
1.7773e+06,18.891,90.838,0.44303
1.7969e+06,19.111,88.774,0.44303
1.8164e+06,19.326,90.838,0.44303
1.8359e+06,19.541,90.838,0.44303
1.8555e+06,19.761,88.774,0.44303
1.875e+06,19.976,90.838,0.44303
1.8945e+06,20.196,88.774,0.44303
1.9141e+06,20.411,90.838,0.44303
1.9336e+06,20.631,88.774,0.44303
1.9531e+06,20.846,90.838,0.44303
1.9727e+06,21.061,90.838,0.44303
1.9922e+06,21.281,88.774,0.44303
2.0117e+06,21.496,90.838,0.44303
2.0313e+06,21.711,90.838,0.44303
2.0508e+06,21.931,88.774,0.44303
2.0703e+06,22.146,90.838,0.44303
2.0898e+06,22.366,88.774,0.44303
2.1094e+06,22.581,90.838,0.44303
2.1289e+06,22.796,90.838,0.44303
2.1484e+06,23.016,88.774,0.44303
2.168e+06,23.231,90.838,0.44303
2.1875e+06,23.446,90.838,0.44303
2.207e+06,23.666,88.774,0.44303
2.2266e+06,23.881,90.838,0.44303
2.2461e+06,24.096,90.838,0.44303
2.2656e+06,24.316,88.774,0.44303
2.2852e+06,24.531,90.838,0.44303
2.3047e+06,24.746,90.838,0.44303
