x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-7.3047e+06,NaN,NaN,0.24183
-7.2852e+06,NaN,NaN,0.24183
-7.2656e+06,NaN,NaN,0.24183
-7.2461e+06,NaN,NaN,0.24183
-7.2266e+06,NaN,NaN,0.24183
-7.207e+06,NaN,NaN,0.24183
-7.1875e+06,NaN,NaN,0.24183
-7.168e+06,NaN,NaN,0.24183
-7.1484e+06,NaN,NaN,0.24183
-7.1289e+06,NaN,NaN,0.24183
-7.1094e+06,NaN,NaN,0.24183
-7.0898e+06,NaN,NaN,0.24183
-7.0703e+06,NaN,NaN,0.24183
-7.0508e+06,NaN,NaN,0.24183
-7.0313e+06,NaN,NaN,0.24183
-7.0117e+06,NaN,NaN,0.24183
-6.9922e+06,NaN,NaN,0.24183
-6.9727e+06,NaN,NaN,0.24183
-6.9531e+06,NaN,NaN,0.24183
-6.9336e+06,NaN,NaN,0.24183
-6.9141e+06,NaN,NaN,0.24183
-6.8945e+06,NaN,NaN,0.24183
-6.875e+06,NaN,NaN,0.24183
-6.8555e+06,NaN,NaN,0.24183
-6.8359e+06,NaN,NaN,0.24183
-6.8164e+06,NaN,NaN,0.24183
-6.7969e+06,NaN,NaN,0.24183
-6.7773e+06,NaN,NaN,0.24183
-6.7578e+06,NaN,NaN,0.24183
-6.7383e+06,NaN,NaN,0.24183
-6.7188e+06,NaN,NaN,0.24183
-6.6992e+06,NaN,NaN,0.24183
-6.6797e+06,NaN,NaN,0.24183
-6.6602e+06,NaN,NaN,0.24183
-6.6406e+06,NaN,NaN,0.24183
-6.6211e+06,NaN,NaN,0.24183
-6.6016e+06,NaN,NaN,0.24183
-6.582e+06,NaN,NaN,0.24183
-6.5625e+06,NaN,NaN,0.24183
-6.543e+06,NaN,NaN,0.24183
-6.5234e+06,NaN,NaN,0.24183
-6.5039e+06,NaN,NaN,0.24183
-6.4844e+06,NaN,NaN,0.24183
-6.4648e+06,NaN,NaN,0.24183
-6.4453e+06,NaN,NaN,0.24183
-6.4258e+06,NaN,NaN,0.24183
-6.4063e+06,NaN,NaN,0.24183
-6.3867e+06,NaN,NaN,0.24183
-6.3672e+06,NaN,NaN,0.24183
-6.3477e+06,NaN,NaN,0.24183
-6.3281e+06,NaN,NaN,0.24183
-6.3086e+06,NaN,NaN,0.24183
-6.2891e+06,NaN,NaN,0.24183
-6.2695e+06,NaN,NaN,0.24183
-6.25e+06,NaN,NaN,0.24183
-6.2305e+06,NaN,NaN,0.24183
-6.2109e+06,NaN,NaN,0.24183
-6.1914e+06,NaN,NaN,0.24183
-6.1719e+06,NaN,NaN,0.24183
-6.1523e+06,NaN,NaN,0.24183
-6.1328e+06,NaN,NaN,0.24183
-6.1133e+06,NaN,NaN,0.24183
-6.0938e+06,NaN,NaN,0.24183
-6.0742e+06,NaN,NaN,0.24183
-6.0547e+06,NaN,NaN,0.24183
-6.0352e+06,NaN,NaN,0.24183
-6.0156e+06,NaN,NaN,0.24183
-5.9961e+06,NaN,NaN,0.24183
-5.9766e+06,NaN,NaN,0.24183
-5.957e+06,NaN,NaN,0.24183
-5.9375e+06,NaN,NaN,0.24183
-5.918e+06,NaN,NaN,0.24183
-5.8984e+06,NaN,NaN,0.24183
-5.8789e+06,NaN,NaN,0.24183
-5.8594e+06,NaN,NaN,0.24183
-5.8398e+06,NaN,NaN,0.24183
-5.8203e+06,NaN,NaN,0.24183
-5.8008e+06,NaN,NaN,0.24183
-5.7813e+06,NaN,NaN,0.24183
-5.7617e+06,NaN,NaN,0.24183
-5.7422e+06,NaN,NaN,0.24183
-5.7227e+06,NaN,NaN,0.24183
-5.7031e+06,NaN,NaN,0.24183
-5.6836e+06,NaN,NaN,0.24183
-5.6641e+06,NaN,NaN,0.24183
-5.6445e+06,NaN,NaN,0.24183
-5.625e+06,NaN,NaN,0.24183
-5.6055e+06,NaN,NaN,0.24183
-5.5859e+06,NaN,NaN,0.24183
-5.5664e+06,NaN,NaN,0.24183
-5.5469e+06,NaN,NaN,0.24183
-5.5273e+06,NaN,NaN,0.24183
-5.5078e+06,NaN,NaN,0.24183
-5.4883e+06,NaN,NaN,0.24183
-5.4688e+06,NaN,NaN,0.24183
-5.4492e+06,NaN,NaN,0.24183
-5.4297e+06,NaN,NaN,0.24183
-5.4102e+06,NaN,NaN,0.24183
-5.3906e+06,NaN,NaN,0.24183
-5.3711e+06,NaN,NaN,0.24183
-5.3516e+06,NaN,NaN,0.24183
-5.332e+06,NaN,NaN,0.24183
-5.3125e+06,NaN,NaN,0.24183
-5.293e+06,NaN,NaN,0.24183
-5.2734e+06,NaN,NaN,0.24183
-5.2539e+06,NaN,NaN,0.24183
-5.2344e+06,NaN,NaN,0.24183
-5.2148e+06,NaN,NaN,0.24183
-5.1953e+06,NaN,NaN,0.24183
-5.1758e+06,NaN,NaN,0.24183
-5.1563e+06,NaN,NaN,0.24183
-5.1367e+06,NaN,NaN,0.24183
-5.1172e+06,NaN,NaN,0.24183
-5.0977e+06,NaN,NaN,0.24183
-5.0781e+06,NaN,NaN,0.24183
-5.0586e+06,NaN,NaN,0.24183
-5.0391e+06,NaN,NaN,0.24183
-5.0195e+06,NaN,NaN,0.24183
-5e+06,NaN,NaN,0.24183
-4.9805e+06,NaN,NaN,0.24183
-4.9609e+06,NaN,NaN,0.24183
-4.9414e+06,NaN,NaN,0.24183
-4.9219e+06,NaN,NaN,0.24183
-4.9023e+06,NaN,NaN,0.24183
-4.8828e+06,NaN,NaN,0.24183
-4.8633e+06,NaN,NaN,0.24183
-4.8438e+06,NaN,NaN,0.24183
-4.8242e+06,NaN,NaN,0.24183
-4.8047e+06,NaN,NaN,0.24183
-4.7852e+06,NaN,NaN,0.24183
-4.7656e+06,NaN,NaN,0.24183
-4.7461e+06,NaN,NaN,0.24183
-4.7266e+06,NaN,NaN,0.24183
-4.707e+06,NaN,NaN,0.24183
-4.6875e+06,NaN,NaN,0.24183
-4.668e+06,NaN,NaN,0.24183
-4.6484e+06,NaN,NaN,0.24183
-4.6289e+06,NaN,NaN,0.24183
-4.6094e+06,NaN,NaN,0.24183
-4.5898e+06,NaN,NaN,0.24183
-4.5703e+06,NaN,NaN,0.24183
-4.5508e+06,NaN,NaN,0.24183
-4.5313e+06,NaN,NaN,0.24183
-4.5117e+06,NaN,NaN,0.24183
-4.4922e+06,NaN,NaN,0.24183
-4.4727e+06,NaN,NaN,0.24183
-4.4531e+06,NaN,NaN,0.24183
-4.4336e+06,NaN,NaN,0.24183
-4.4141e+06,NaN,NaN,0.24183
-4.3945e+06,NaN,NaN,0.24183
-4.375e+06,NaN,NaN,0.24183
-4.3555e+06,NaN,NaN,0.24183
-4.3359e+06,NaN,NaN,0.24183
-4.3164e+06,NaN,NaN,0.24183
-4.2969e+06,NaN,NaN,0.24183
-4.2773e+06,NaN,NaN,0.24183
-4.2578e+06,NaN,NaN,0.24183
-4.2383e+06,NaN,NaN,0.24183
-4.2188e+06,NaN,NaN,0.24183
-4.1992e+06,NaN,NaN,0.24183
-4.1797e+06,NaN,NaN,0.24183
-4.1602e+06,NaN,NaN,0.24183
-4.1406e+06,NaN,NaN,0.24183
-4.1211e+06,NaN,NaN,0.24183
-4.1016e+06,NaN,NaN,0.24183
-4.082e+06,NaN,NaN,0.24183
-4.0625e+06,NaN,NaN,0.24183
-4.043e+06,NaN,NaN,0.24183
-4.0234e+06,NaN,NaN,0.24183
-4.0039e+06,NaN,NaN,0.24183
-3.9844e+06,NaN,NaN,0.24183
-3.9648e+06,NaN,NaN,0.24183
-3.9453e+06,NaN,NaN,0.24183
-3.9258e+06,NaN,NaN,0.24183
-3.9063e+06,NaN,NaN,0.24183
-3.8867e+06,NaN,NaN,0.24183
-3.8672e+06,NaN,NaN,0.24183
-3.8477e+06,NaN,NaN,0.24183
-3.8281e+06,NaN,NaN,0.24183
-3.8086e+06,NaN,NaN,0.24183
-3.7891e+06,NaN,NaN,0.24183
-3.7695e+06,NaN,NaN,0.24183
-3.75e+06,NaN,NaN,0.24183
-3.7305e+06,NaN,NaN,0.24183
-3.7109e+06,NaN,NaN,0.24183
-3.6914e+06,NaN,NaN,0.24183
-3.6719e+06,NaN,NaN,0.24183
-3.6523e+06,NaN,NaN,0.24183
-3.6328e+06,NaN,NaN,0.24183
-3.6133e+06,NaN,NaN,0.24183
-3.5938e+06,NaN,NaN,0.24183
-3.5742e+06,NaN,NaN,0.24183
-3.5547e+06,NaN,NaN,0.24183
-3.5352e+06,NaN,NaN,0.24183
-3.5156e+06,NaN,NaN,0.24183
-3.4961e+06,NaN,NaN,0.24183
-3.4766e+06,NaN,NaN,0.24183
-3.457e+06,NaN,NaN,0.24183
