x,zetaTime_1e-05,zetaRate_1e-05,zeta
-2.5195e+06,NaN,NaN,8.1574e-13
-2.5e+06,NaN,NaN,1.3055e-12
-2.4805e+06,NaN,NaN,2.086e-12
-2.4609e+06,NaN,NaN,3.328e-12
-2.4414e+06,NaN,NaN,5.3012e-12
-2.4219e+06,NaN,NaN,8.4308e-12
-2.4023e+06,NaN,NaN,1.3386e-11
-2.3828e+06,NaN,NaN,2.122e-11
-2.3633e+06,NaN,NaN,3.3584e-11
-2.3438e+06,NaN,NaN,5.3062e-11
-2.3242e+06,NaN,NaN,8.3695e-11
-2.3047e+06,NaN,NaN,1.3179e-10
-2.2852e+06,NaN,NaN,2.0716e-10
-2.2656e+06,NaN,NaN,3.2506e-10
-2.2461e+06,NaN,NaN,5.0917e-10
-2.2266e+06,NaN,NaN,7.9611e-10
-2.207e+06,NaN,NaN,1.2425e-09
-2.1875e+06,NaN,NaN,1.9356e-09
-2.168e+06,NaN,NaN,3.0096e-09
-2.1484e+06,NaN,NaN,4.6707e-09
-2.1289e+06,NaN,NaN,7.2348e-09
-2.1094e+06,NaN,NaN,1.1184e-08
-2.0898e+06,NaN,NaN,1.7256e-08
-2.0703e+06,NaN,NaN,2.6569e-08
-2.0508e+06,NaN,NaN,4.0824e-08
-2.0313e+06,NaN,NaN,6.2597e-08
-2.0117e+06,NaN,NaN,9.5778e-08
-1.9922e+06,NaN,NaN,1.4623e-07
-1.9727e+06,NaN,NaN,2.2276e-07
-1.9531e+06,NaN,NaN,3.3858e-07
-1.9336e+06,NaN,NaN,5.1344e-07
-1.9141e+06,NaN,NaN,7.7676e-07
-1.8945e+06,NaN,NaN,1.1723e-06
-1.875e+06,NaN,NaN,1.7649e-06
-1.8555e+06,NaN,NaN,2.6504e-06
-1.8359e+06,NaN,NaN,3.9697e-06
-1.8164e+06,NaN,NaN,5.9301e-06
-1.7969e+06,NaN,NaN,8.8341e-06
-1.7773e+06,NaN,NaN,1.3123e-05
-1.7578e+06,NaN,NaN,1.9437e-05
-1.7383e+06,NaN,NaN,2.8703e-05
-1.7188e+06,NaN,NaN,4.2252e-05
-1.6992e+06,NaN,NaN,6.1994e-05
-1.6797e+06,NaN,NaN,9.065e-05
-1.6602e+06,NaN,NaN,0.00013208
-1.6406e+06,NaN,NaN,0.00019173
-1.6211e+06,NaN,NaN,0.00027722
-1.6016e+06,NaN,NaN,0.00039917
-1.582e+06,NaN,NaN,0.00057222
-1.5625e+06,NaN,NaN,0.00081645
-1.543e+06,NaN,NaN,0.0011591
-1.5234e+06,NaN,NaN,0.0016366
-1.5039e+06,NaN,NaN,0.0022973
-1.4844e+06,NaN,NaN,0.0032044
-1.4648e+06,NaN,NaN,0.0044388
-1.4453e+06,NaN,NaN,0.0061024
-1.4258e+06,NaN,NaN,0.0083201
-1.4063e+06,NaN,NaN,0.011241
-1.3867e+06,NaN,NaN,0.015035
-1.3672e+06,NaN,NaN,0.019887
-1.3477e+06,NaN,NaN,0.025989
-1.3281e+06,NaN,NaN,0.033511
-1.3086e+06,NaN,NaN,0.042585
-1.2891e+06,NaN,NaN,0.05308
-1.2695e+06,NaN,NaN,0.064876
-1.25e+06,NaN,NaN,0.078463
-1.2305e+06,NaN,NaN,0.093755
-1.2109e+06,NaN,NaN,0.11062
-1.1914e+06,NaN,NaN,0.12878
-1.1719e+06,NaN,NaN,0.14794
-1.1523e+06,NaN,NaN,0.16775
-1.1328e+06,NaN,NaN,0.18782
-1.1133e+06,NaN,NaN,0.20779
-1.0938e+06,NaN,NaN,0.22734
-1.0742e+06,NaN,NaN,0.2462
-1.0547e+06,NaN,NaN,0.26417
-1.0352e+06,NaN,NaN,0.28111
-1.0156e+06,NaN,NaN,0.29693
-9.9609e+05,NaN,NaN,0.31157
-9.7656e+05,NaN,NaN,0.32504
-9.5703e+05,NaN,NaN,0.33736
-9.375e+05,NaN,NaN,0.34856
-9.1797e+05,NaN,NaN,0.35872
-8.9844e+05,NaN,NaN,0.36789
-8.7891e+05,NaN,NaN,0.37614
-8.5938e+05,NaN,NaN,0.38355
-8.3984e+05,NaN,NaN,0.39019
-8.2031e+05,NaN,NaN,0.39612
