x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-1.8164e+06,NaN,NaN,0.42956
-1.7969e+06,NaN,NaN,0.42956
-1.7773e+06,NaN,NaN,0.42956
-1.7578e+06,NaN,NaN,0.42956
-1.7383e+06,NaN,NaN,0.42956
-1.7188e+06,NaN,NaN,0.42956
-1.6992e+06,NaN,NaN,0.42956
-1.6797e+06,NaN,NaN,0.42956
-1.6602e+06,NaN,NaN,0.42956
-1.6406e+06,NaN,NaN,0.42956
-1.6211e+06,NaN,NaN,0.42956
-1.6016e+06,NaN,NaN,0.42956
-1.582e+06,NaN,NaN,0.42956
-1.5625e+06,NaN,NaN,0.42956
-1.543e+06,NaN,NaN,0.42956
-1.5234e+06,NaN,NaN,0.42956
-1.5039e+06,NaN,NaN,0.42956
-1.4844e+06,NaN,NaN,0.42956
-1.4648e+06,NaN,NaN,0.42956
-1.4453e+06,NaN,NaN,0.42956
-1.4258e+06,NaN,NaN,0.42956
-1.4063e+06,NaN,NaN,0.42956
-1.3867e+06,NaN,NaN,0.42956
-1.3672e+06,NaN,NaN,0.42956
-1.3477e+06,NaN,NaN,0.42956
-1.3281e+06,NaN,NaN,0.42956
-1.3086e+06,NaN,NaN,0.42956
-1.2891e+06,NaN,NaN,0.42956
-1.2695e+06,NaN,NaN,0.42956
-1.25e+06,NaN,NaN,0.42956
-1.2305e+06,NaN,NaN,0.42956
-1.2109e+06,NaN,NaN,0.42956
-1.1914e+06,NaN,NaN,0.42956
-1.1719e+06,NaN,NaN,0.42956
-1.1523e+06,NaN,NaN,0.42956
-1.1328e+06,NaN,NaN,0.42956
-1.1133e+06,NaN,NaN,0.42956
-1.0938e+06,NaN,NaN,0.42956
-1.0742e+06,NaN,NaN,0.42956
-1.0547e+06,NaN,NaN,0.42956
-1.0352e+06,NaN,NaN,0.42956
-1.0156e+06,NaN,NaN,0.42956
-9.9609e+05,NaN,NaN,0.42956
-9.7656e+05,NaN,NaN,0.42956
-9.5703e+05,NaN,NaN,0.42956
-9.375e+05,NaN,NaN,0.42956
-9.1797e+05,NaN,NaN,0.42956
-8.9844e+05,NaN,NaN,0.42956
-8.7891e+05,NaN,NaN,0.42956
-8.5938e+05,NaN,NaN,0.42956
-8.3984e+05,NaN,NaN,0.42956
-8.2031e+05,NaN,NaN,0.42956
-8.0078e+05,NaN,NaN,0.42956
-7.8125e+05,NaN,NaN,0.42956
-7.6172e+05,NaN,NaN,0.42956
-7.4219e+05,NaN,NaN,0.42956
-7.2266e+05,NaN,NaN,0.42956
-7.0313e+05,NaN,NaN,0.42956
-6.8359e+05,NaN,NaN,0.42956
-6.6406e+05,NaN,NaN,0.42956
-6.4453e+05,NaN,NaN,0.42956
-6.25e+05,NaN,NaN,0.42956
-6.0547e+05,NaN,NaN,0.42956
-5.8594e+05,NaN,NaN,0.42956
-5.6641e+05,NaN,NaN,0.42956
-5.4688e+05,NaN,NaN,0.42956
-5.2734e+05,NaN,NaN,0.42956
-5.0781e+05,NaN,NaN,0.42956
-4.8828e+05,NaN,NaN,0.42956
-4.6875e+05,NaN,NaN,0.42956
