x,rhoTime_1e-05,rhoRate_1e-05,rho
-2.5195e+06,NaN,NaN,4.2983e-08
-2.5e+06,NaN,NaN,7.1166e-08
-2.4805e+06,NaN,NaN,1.1762e-07
-2.4609e+06,NaN,NaN,1.9402e-07
-2.4414e+06,NaN,NaN,3.1944e-07
-2.4219e+06,NaN,NaN,5.249e-07
-2.4023e+06,NaN,NaN,8.6072e-07
-2.3828e+06,NaN,NaN,1.4084e-06
-2.3633e+06,NaN,NaN,2.2994e-06
-2.3438e+06,NaN,NaN,3.7453e-06
-2.3242e+06,NaN,NaN,6.0857e-06
-2.3047e+06,NaN,NaN,9.8633e-06
-2.2852e+06,NaN,NaN,1.5943e-05
-2.2656e+06,NaN,NaN,2.5697e-05
-2.2461e+06,NaN,NaN,4.1293e-05
-2.2266e+06,NaN,NaN,6.6141e-05
-2.207e+06,NaN,NaN,0.00010558
-2.1875e+06,NaN,NaN,0.00016789
-2.168e+06,NaN,NaN,0.00026591
-2.1484e+06,NaN,NaN,0.0004193
-2.1289e+06,NaN,NaN,0.00065794
-2.1094e+06,NaN,NaN,0.0010268
-2.0898e+06,NaN,NaN,0.0015928
-2.0703e+06,NaN,NaN,0.0024538
-2.0508e+06,NaN,NaN,0.0037508
-2.0313e+06,NaN,NaN,0.0056817
-2.0117e+06,NaN,NaN,0.0085169
-1.9922e+06,NaN,NaN,0.012611
-1.9727e+06,NaN,NaN,0.018406
-1.9531e+06,NaN,NaN,0.026415
-1.9336e+06,NaN,NaN,0.037167
-1.9141e+06,NaN,NaN,0.05112
-1.8945e+06,NaN,NaN,0.068527
-1.875e+06,NaN,NaN,0.089305
-1.8555e+06,NaN,NaN,0.11296
-1.8359e+06,NaN,NaN,0.1386
-1.8164e+06,NaN,NaN,0.1651
-1.7969e+06,NaN,NaN,0.19133
-1.7773e+06,NaN,NaN,0.21631
-1.7578e+06,NaN,NaN,0.23936
-1.7383e+06,NaN,NaN,0.26008
-1.7188e+06,NaN,NaN,0.27834
-1.6992e+06,NaN,NaN,0.29417
-1.6797e+06,NaN,NaN,0.30774
-1.6602e+06,NaN,NaN,0.31926
-1.6406e+06,NaN,NaN,0.32896
-1.6211e+06,NaN,NaN,0.33709
-1.6016e+06,NaN,NaN,0.34387
-1.582e+06,NaN,NaN,0.3495
-1.5625e+06,NaN,NaN,0.35416
-1.543e+06,NaN,NaN,0.35802
-1.5234e+06,NaN,NaN,0.36121
-1.5039e+06,NaN,NaN,0.36383
-1.4844e+06,NaN,NaN,0.36599
-1.4648e+06,NaN,NaN,0.36776
-1.4453e+06,NaN,NaN,0.36922
-1.4258e+06,NaN,NaN,0.37042
-1.4063e+06,NaN,NaN,0.3714
-1.3867e+06,NaN,NaN,0.37221
-1.3672e+06,NaN,NaN,0.37287
-1.3477e+06,NaN,NaN,0.37341
-1.3281e+06,NaN,NaN,0.37385
-1.3086e+06,NaN,NaN,0.37422
-1.2891e+06,NaN,NaN,0.37452
-1.2695e+06,NaN,NaN,0.37476
-1.25e+06,NaN,NaN,0.37496
