x,zetaTime_1e-05,zetaRate_1e-05,zeta
-2.5195e+06,NaN,NaN,5.1285e-15
-2.5e+06,NaN,NaN,8.569e-15
-2.4805e+06,NaN,NaN,1.4297e-14
-2.4609e+06,NaN,NaN,2.3821e-14
-2.4414e+06,NaN,NaN,3.9629e-14
-2.4219e+06,NaN,NaN,6.5833e-14
-2.4023e+06,NaN,NaN,1.092e-13
-2.3828e+06,NaN,NaN,1.8086e-13
-2.3633e+06,NaN,NaN,2.9909e-13
-2.3438e+06,NaN,NaN,4.9385e-13
-2.3242e+06,NaN,NaN,8.1417e-13
-2.3047e+06,NaN,NaN,1.3401e-12
-2.2852e+06,NaN,NaN,2.2023e-12
-2.2656e+06,NaN,NaN,3.6134e-12
-2.2461e+06,NaN,NaN,5.9189e-12
-2.2266e+06,NaN,NaN,9.6793e-12
-2.207e+06,NaN,NaN,1.5802e-11
-2.1875e+06,NaN,NaN,2.5755e-11
-2.168e+06,NaN,NaN,4.1903e-11
-2.1484e+06,NaN,NaN,6.8057e-11
-2.1289e+06,NaN,NaN,1.1034e-10
-2.1094e+06,NaN,NaN,1.7858e-10
-2.0898e+06,NaN,NaN,2.8848e-10
-2.0703e+06,NaN,NaN,4.6517e-10
-2.0508e+06,NaN,NaN,7.4867e-10
-2.0313e+06,NaN,NaN,1.2027e-09
-2.0117e+06,NaN,NaN,1.9282e-09
-1.9922e+06,NaN,NaN,3.0855e-09
-1.9727e+06,NaN,NaN,4.9275e-09
-1.9531e+06,NaN,NaN,7.8531e-09
-1.9336e+06,NaN,NaN,1.249e-08
-1.9141e+06,NaN,NaN,1.9823e-08
-1.8945e+06,NaN,NaN,3.1395e-08
-1.875e+06,NaN,NaN,4.9614e-08
-1.8555e+06,NaN,NaN,7.8232e-08
-1.8359e+06,NaN,NaN,1.2308e-07
-1.8164e+06,NaN,NaN,1.9318e-07
-1.7969e+06,NaN,NaN,3.025e-07
-1.7773e+06,NaN,NaN,4.7255e-07
-1.7578e+06,NaN,NaN,7.3635e-07
-1.7383e+06,NaN,NaN,1.1445e-06
-1.7188e+06,NaN,NaN,1.7743e-06
-1.6992e+06,NaN,NaN,2.7433e-06
-1.6797e+06,NaN,NaN,4.2297e-06
-1.6602e+06,NaN,NaN,6.503e-06
-1.6406e+06,NaN,NaN,9.9689e-06
-1.6211e+06,NaN,NaN,1.5235e-05
-1.6016e+06,NaN,NaN,2.3211e-05
-1.582e+06,NaN,NaN,3.5245e-05
-1.5625e+06,NaN,NaN,5.3335e-05
-1.543e+06,NaN,NaN,8.0421e-05
-1.5234e+06,NaN,NaN,0.00012081
-1.5039e+06,NaN,NaN,0.00018075
-1.4844e+06,NaN,NaN,0.0002693
-1.4648e+06,NaN,NaN,0.00039944
-1.4453e+06,NaN,NaN,0.00058964
-1.4258e+06,NaN,NaN,0.00086594
-1.4063e+06,NaN,NaN,0.0012647
-1.3867e+06,NaN,NaN,0.0018359
-1.3672e+06,NaN,NaN,0.0026477
-1.3477e+06,NaN,NaN,0.003791
-1.3281e+06,NaN,NaN,0.0053849
-1.3086e+06,NaN,NaN,0.0075818
-1.2891e+06,NaN,NaN,0.010571
-1.2695e+06,NaN,NaN,0.014579
-1.25e+06,NaN,NaN,0.019863
-1.2305e+06,NaN,NaN,0.026703
-1.2109e+06,NaN,NaN,0.03537
-1.1914e+06,NaN,NaN,0.046101
-1.1719e+06,NaN,NaN,0.059052
-1.1523e+06,NaN,NaN,0.074263
-1.1328e+06,NaN,NaN,0.091627
-1.1133e+06,NaN,NaN,0.11089
-1.0938e+06,NaN,NaN,0.13164
-1.0742e+06,NaN,NaN,0.15341
-1.0547e+06,NaN,NaN,0.17567
-1.0352e+06,NaN,NaN,0.19791
-1.0156e+06,NaN,NaN,0.21969
-9.9609e+05,NaN,NaN,0.24065
-9.7656e+05,NaN,NaN,0.2605
-9.5703e+05,NaN,NaN,0.27909
-9.375e+05,NaN,NaN,0.2963
-9.1797e+05,NaN,NaN,0.3121
-8.9844e+05,NaN,NaN,0.32649
-8.7891e+05,NaN,NaN,0.33953
-8.5938e+05,NaN,NaN,0.35128
-8.3984e+05,NaN,NaN,0.36182
-8.2031e+05,NaN,NaN,0.37125
-8.0078e+05,NaN,NaN,0.37966
-7.8125e+05,NaN,NaN,0.38713
-7.6172e+05,NaN,NaN,0.39376
-7.4219e+05,NaN,NaN,0.39964
-7.2266e+05,NaN,NaN,0.40484
-7.0313e+05,NaN,NaN,0.40943
-6.8359e+05,NaN,NaN,0.41348
-6.6406e+05,NaN,NaN,0.41706
-6.4453e+05,NaN,NaN,0.4202
-6.25e+05,NaN,NaN,0.42297
-6.0547e+05,NaN,NaN,0.42541
-5.8594e+05,NaN,NaN,0.42755
-5.6641e+05,NaN,NaN,0.42943
-5.4688e+05,NaN,NaN,0.43109
-5.2734e+05,NaN,NaN,0.43254
-5.0781e+05,NaN,NaN,0.43381
-4.8828e+05,NaN,NaN,0.43493
-4.6875e+05,NaN,NaN,0.43591
-4.4922e+05,NaN,NaN,0.43677
-4.2969e+05,NaN,NaN,0.43753
-4.1016e+05,NaN,NaN,0.43819
-3.9063e+05,NaN,NaN,0.43877
-3.7109e+05,NaN,NaN,0.43928
-3.5156e+05,NaN,NaN,0.43972
-3.3203e+05,NaN,NaN,0.44011
-3.125e+05,NaN,NaN,0.44045
-2.9297e+05,NaN,NaN,0.44075
-2.7344e+05,NaN,NaN,0.44101
-2.5391e+05,NaN,NaN,0.44123
-2.3438e+05,NaN,NaN,0.44143
-2.1484e+05,NaN,NaN,0.4416
-1.9531e+05,NaN,NaN,0.44174
-1.7578e+05,NaN,NaN,0.44187
-1.5625e+05,NaN,NaN,0.44198
-1.3672e+05,NaN,NaN,0.44207
-1.1719e+05,NaN,NaN,0.44214
-97656,NaN,NaN,0.44221
-78125,NaN,NaN,0.44225
-58594,NaN,NaN,0.44229
-39063,NaN,NaN,0.44232
-19531,NaN,NaN,0.44233
0,0.0050003,NaN,0.44234
19531,0.025001,976.51,0.44233
39063,0.045002,976.51,0.44232
58594,0.085004,488.26,0.44229
78125,0.17501,217,0.44225
97656,0.36002,105.57,0.44221
1.1719e+05,0.70504,56.609,0.44214
1.3672e+05,1.2201,37.923,0.44207
1.5625e+05,1.8801,29.591,0.44198
1.7578e+05,2.6551,25.2,0.44187
1.9531e+05,3.5152,22.71,0.44174
2.1484e+05,4.4402,21.114,0.4416
2.3438e+05,5.4203,19.929,0.44143
2.5391e+05,6.4403,19.147,0.44123
2.7344e+05,7.4904,18.6,0.44101
2.9297e+05,8.5704,18.084,0.44075
3.125e+05,9.6705,17.755,0.44045
3.3203e+05,10.786,17.516,0.44011
3.5156e+05,11.916,17.283,0.43972
3.7109e+05,13.056,17.132,0.43928
3.9063e+05,14.206,16.983,0.43877
4.1016e+05,15.366,16.836,0.43819
4.2969e+05,16.531,16.764,0.43753
4.4922e+05,17.701,16.693,0.43677
4.6875e+05,18.871,16.693,0.43591
4.8828e+05,20.066,16.343,0.43493
5.0781e+05,21.506,13.563,0.43381
5.2734e+05,22.936,13.658,0.43254
5.4688e+05,24.191,15.562,0.43109
5.6641e+05,25.586,14,0.42943
5.8594e+05,27.031,13.516,0.42755
6.0547e+05,28.291,15.5,0.42541
6.25e+05,29.656,14.308,0.42297
6.4453e+05,31.102,13.516,0.4202
6.6406e+05,32.387,15.199,0.41706
6.8359e+05,33.732,14.521,0.41348
7.0313e+05,35.172,13.563,0.40943
7.2266e+05,36.482,14.909,0.40484
7.4219e+05,37.802,14.796,0.39964
7.6172e+05,39.242,13.563,0.39376
7.8125e+05,40.567,14.74,0.38713
8.0078e+05,41.867,15.023,0.37966
8.2031e+05,43.307,13.563,0.37125
8.3984e+05,44.662,14.413,0.36182
8.5938e+05,45.932,15.378,0.35128
8.7891e+05,47.367,13.61,0.33953
8.9844e+05,48.737,14.256,0.32649
9.1797e+05,49.987,15.624,0.3121
9.375e+05,51.428,13.563,0.2963
9.5703e+05,52.813,14.101,0.27909
9.7656e+05,54.053,15.75,0.2605
9.9609e+05,55.473,13.754,0.24065
1.0156e+06,56.873,13.95,0.21969
1.0352e+06,58.128,15.562,0.19791
1.0547e+06,59.528,13.95,0.17567
1.0742e+06,60.948,13.754,0.15341
1.0938e+06,62.208,15.5,0.13164
1.1133e+06,63.593,14.101,0.11089
1.1328e+06,65.018,13.705,0.091627
1.1523e+06,66.268,15.624,0.074263
1.1719e+06,67.633,14.308,0.059052
1.1914e+06,69.063,13.658,0.046101
1.2109e+06,70.334,15.378,0.03537
1.2305e+06,71.689,14.413,0.026703
1.25e+06,73.119,13.658,0.019863
1.2695e+06,74.404,15.199,0.014579
1.2891e+06,75.734,14.684,0.010571
1.3086e+06,77.164,13.658,0.0075818
1.3281e+06,78.469,14.966,0.0053849
1.3477e+06,79.784,14.852,0.003791
1.3672e+06,81.214,13.658,0.0026477
1.3867e+06,82.534,14.796,0.0018359
1.4063e+06,83.834,15.023,0.0012647
1.4258e+06,85.264,13.658,0.00086594
1.4453e+06,86.599,14.629,0.00058964
1.4648e+06,87.879,15.258,0.00039944
1.4844e+06,89.309,13.658,0.0002693
1.5039e+06,90.655,14.521,0.00018075
1.5234e+06,91.925,15.378,0.00012081
1.543e+06,93.355,13.658,8.0421e-05
1.5625e+06,94.71,14.413,5.3335e-05
1.582e+06,95.97,15.5,3.5245e-05
1.6016e+06,97.395,13.705,2.3211e-05
1.6211e+06,98.765,14.256,1.5235e-05
1.6406e+06,NaN,NaN,9.9689e-06
1.6602e+06,NaN,NaN,6.503e-06
1.6797e+06,NaN,NaN,4.2297e-06
1.6992e+06,NaN,NaN,2.7433e-06
1.7188e+06,NaN,NaN,1.7743e-06
1.7383e+06,NaN,NaN,1.1445e-06
1.7578e+06,NaN,NaN,7.3635e-07
1.7773e+06,NaN,NaN,4.7255e-07
1.7969e+06,NaN,NaN,3.025e-07
1.8164e+06,NaN,NaN,1.9318e-07
1.8359e+06,NaN,NaN,1.2308e-07
1.8555e+06,NaN,NaN,7.8232e-08
1.875e+06,NaN,NaN,4.9614e-08
1.8945e+06,NaN,NaN,3.1395e-08
1.9141e+06,NaN,NaN,1.9823e-08
1.9336e+06,NaN,NaN,1.249e-08
1.9531e+06,NaN,NaN,7.8531e-09
1.9727e+06,NaN,NaN,4.9275e-09
1.9922e+06,NaN,NaN,3.0855e-09
2.0117e+06,NaN,NaN,1.9282e-09
2.0313e+06,NaN,NaN,1.2027e-09
2.0508e+06,NaN,NaN,7.4867e-10
2.0703e+06,NaN,NaN,4.6517e-10
2.0898e+06,NaN,NaN,2.8848e-10
2.1094e+06,NaN,NaN,1.7858e-10
2.1289e+06,NaN,NaN,1.1034e-10
2.1484e+06,NaN,NaN,6.8057e-11
2.168e+06,NaN,NaN,4.1903e-11
2.1875e+06,NaN,NaN,2.5755e-11
2.207e+06,NaN,NaN,1.5802e-11
2.2266e+06,NaN,NaN,9.6793e-12
2.2461e+06,NaN,NaN,5.9189e-12
2.2656e+06,NaN,NaN,3.6134e-12
2.2852e+06,NaN,NaN,2.2023e-12
2.3047e+06,NaN,NaN,1.3401e-12
2.3242e+06,NaN,NaN,8.1417e-13
2.3438e+06,NaN,NaN,4.9385e-13
2.3633e+06,NaN,NaN,2.9909e-13
2.3828e+06,NaN,NaN,1.8086e-13
2.4023e+06,NaN,NaN,1.092e-13
2.4219e+06,NaN,NaN,6.5833e-14
2.4414e+06,NaN,NaN,3.9629e-14
2.4609e+06,NaN,NaN,2.3821e-14
2.4805e+06,NaN,NaN,1.4297e-14
2.5e+06,NaN,NaN,8.569e-15
2.5195e+06,NaN,NaN,5.1285e-15
2.5391e+06,NaN,NaN,3.065e-15
2.5586e+06,NaN,NaN,1.8292e-15
2.5781e+06,NaN,NaN,1.0902e-15
2.5977e+06,NaN,NaN,6.4887e-16
2.6172e+06,NaN,NaN,3.8567e-16
2.6367e+06,NaN,NaN,2.2892e-16
2.6563e+06,NaN,NaN,1.357e-16
2.6758e+06,NaN,NaN,8.0338e-17
2.6953e+06,NaN,NaN,4.75e-17
2.7148e+06,NaN,NaN,2.8048e-17
2.7344e+06,NaN,NaN,1.6541e-17
2.7539e+06,NaN,NaN,9.7423e-18
2.7734e+06,NaN,NaN,5.7309e-18
2.793e+06,NaN,NaN,3.3671e-18
2.8125e+06,NaN,NaN,1.9758e-18
2.832e+06,NaN,NaN,1.158e-18
2.8516e+06,NaN,NaN,6.7789e-19
2.8711e+06,NaN,NaN,3.9636e-19
2.8906e+06,NaN,NaN,2.3148e-19
2.9102e+06,NaN,NaN,1.3502e-19
2.9297e+06,NaN,NaN,7.8671e-20
2.9492e+06,NaN,NaN,4.5785e-20
2.9688e+06,NaN,NaN,2.6615e-20
2.9883e+06,NaN,NaN,1.5454e-20
3.0078e+06,NaN,NaN,8.9637e-21
3.0273e+06,NaN,NaN,5.1933e-21
3.0469e+06,NaN,NaN,3.0055e-21
3.0664e+06,NaN,NaN,1.7375e-21
3.0859e+06,NaN,NaN,1.0034e-21
3.1055e+06,NaN,NaN,5.788e-22
3.125e+06,NaN,NaN,3.3353e-22
3.1445e+06,NaN,NaN,1.92e-22
3.1641e+06,NaN,NaN,1.1041e-22
3.1836e+06,NaN,NaN,6.3422e-23
