x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-7.5e+06,NaN,NaN,1.2448e-55
-7.4805e+06,NaN,NaN,2.7524e-55
-7.4609e+06,NaN,NaN,6.085e-55
-7.4414e+06,NaN,NaN,1.345e-54
-7.4219e+06,NaN,NaN,2.9723e-54
-7.4023e+06,NaN,NaN,6.5674e-54
-7.3828e+06,NaN,NaN,1.4508e-53
-7.3633e+06,NaN,NaN,3.2043e-53
-7.3438e+06,NaN,NaN,7.076e-53
-7.3242e+06,NaN,NaN,1.5623e-52
-7.3047e+06,NaN,NaN,3.4486e-52
-7.2852e+06,NaN,NaN,7.611e-52
-7.2656e+06,NaN,NaN,1.6794e-51
-7.2461e+06,NaN,NaN,3.705e-51
-7.2266e+06,NaN,NaN,8.1722e-51
-7.207e+06,NaN,NaN,1.8022e-50
-7.1875e+06,NaN,NaN,3.9735e-50
-7.168e+06,NaN,NaN,8.7591e-50
-7.1484e+06,NaN,NaN,1.9305e-49
-7.1289e+06,NaN,NaN,4.2537e-49
-7.1094e+06,NaN,NaN,9.3712e-49
-7.0898e+06,NaN,NaN,2.0641e-48
-7.0703e+06,NaN,NaN,4.5455e-48
-7.0508e+06,NaN,NaN,1.0008e-47
-7.0313e+06,NaN,NaN,2.2029e-47
-7.0117e+06,NaN,NaN,4.8481e-47
-6.9922e+06,NaN,NaN,1.0667e-46
-6.9727e+06,NaN,NaN,2.3467e-46
-6.9531e+06,NaN,NaN,5.1612e-46
-6.9336e+06,NaN,NaN,1.1349e-45
-6.9141e+06,NaN,NaN,2.495e-45
-6.8945e+06,NaN,NaN,5.4838e-45
-6.875e+06,NaN,NaN,1.2051e-44
-6.8555e+06,NaN,NaN,2.6475e-44
-6.8359e+06,NaN,NaN,5.8152e-44
-6.8164e+06,NaN,NaN,1.277e-43
-6.7969e+06,NaN,NaN,2.8037e-43
-6.7773e+06,NaN,NaN,6.1543e-43
-6.7578e+06,NaN,NaN,1.3506e-42
-6.7383e+06,NaN,NaN,2.9632e-42
-6.7188e+06,NaN,NaN,6.4997e-42
-6.6992e+06,NaN,NaN,1.4254e-41
-6.6797e+06,NaN,NaN,3.1252e-41
-6.6602e+06,NaN,NaN,6.8503e-41
-6.6406e+06,NaN,NaN,1.5012e-40
-6.6211e+06,NaN,NaN,3.289e-40
-6.6016e+06,NaN,NaN,7.2043e-40
-6.582e+06,NaN,NaN,1.5777e-39
-6.5625e+06,NaN,NaN,3.454e-39
-6.543e+06,NaN,NaN,7.5602e-39
-6.5234e+06,NaN,NaN,1.6544e-38
-6.5039e+06,NaN,NaN,3.6193e-38
-6.4844e+06,NaN,NaN,7.9159e-38
-6.4648e+06,NaN,NaN,1.7309e-37
-6.4453e+06,NaN,NaN,3.7838e-37
-6.4258e+06,NaN,NaN,8.2695e-37
-6.4063e+06,NaN,NaN,1.8068e-36
-6.3867e+06,NaN,NaN,3.9467e-36
-6.3672e+06,NaN,NaN,8.6187e-36
-6.3477e+06,NaN,NaN,1.8816e-35
-6.3281e+06,NaN,NaN,4.1068e-35
-6.3086e+06,NaN,NaN,8.9612e-35
-6.2891e+06,NaN,NaN,1.9548e-34
-6.2695e+06,NaN,NaN,4.2631e-34
-6.25e+06,NaN,NaN,9.2944e-34
-6.2305e+06,NaN,NaN,2.0258e-33
-6.2109e+06,NaN,NaN,4.4142e-33
-6.1914e+06,NaN,NaN,9.6158e-33
-6.1719e+06,NaN,NaN,2.0941e-32
-6.1523e+06,NaN,NaN,4.559e-32
-6.1328e+06,NaN,NaN,9.9225e-32
-6.1133e+06,NaN,NaN,2.159e-31
-6.0938e+06,NaN,NaN,4.6961e-31
-6.0742e+06,NaN,NaN,1.0212e-30
-6.0547e+06,NaN,NaN,2.2199e-30
-6.0352e+06,NaN,NaN,4.8242e-30
-6.0156e+06,NaN,NaN,1.0481e-29
-5.9961e+06,NaN,NaN,2.2762e-29
-5.9766e+06,NaN,NaN,4.9419e-29
-5.957e+06,NaN,NaN,1.0726e-28
-5.9375e+06,NaN,NaN,2.3273e-28
-5.918e+06,NaN,NaN,5.0479e-28
-5.8984e+06,NaN,NaN,1.0945e-27
-5.8789e+06,NaN,NaN,2.3725e-27
-5.8594e+06,NaN,NaN,5.1408e-27
-5.8398e+06,NaN,NaN,1.1135e-26
-5.8203e+06,NaN,NaN,2.4112e-26
-5.8008e+06,NaN,NaN,5.2192e-26
-5.7813e+06,NaN,NaN,1.1293e-25
-5.7617e+06,NaN,NaN,2.4428e-25
-5.7422e+06,NaN,NaN,5.2818e-25
-5.7227e+06,NaN,NaN,1.1416e-24
-5.7031e+06,NaN,NaN,2.4666e-24
-5.6836e+06,NaN,NaN,5.3274e-24
-5.6641e+06,NaN,NaN,1.1502e-23
-5.6445e+06,NaN,NaN,2.4822e-23
-5.625e+06,NaN,NaN,5.3548e-23
-5.6055e+06,NaN,NaN,1.1547e-22
-5.5859e+06,NaN,NaN,2.489e-22
-5.5664e+06,NaN,NaN,5.3628e-22
-5.5469e+06,NaN,NaN,1.155e-21
-5.5273e+06,NaN,NaN,2.4865e-21
-5.5078e+06,NaN,NaN,5.3505e-21
-5.4883e+06,NaN,NaN,1.1508e-20
-5.4688e+06,NaN,NaN,2.4742e-20
-5.4492e+06,NaN,NaN,5.317e-20
