x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-2.5e+06,NaN,NaN,4.3693e-12
-2.4805e+06,NaN,NaN,7.241e-12
-2.4609e+06,NaN,NaN,1.1982e-11
-2.4414e+06,NaN,NaN,1.9798e-11
-2.4219e+06,NaN,NaN,3.2662e-11
-2.4023e+06,NaN,NaN,5.38e-11
-2.3828e+06,NaN,NaN,8.8481e-11
-2.3633e+06,NaN,NaN,1.4529e-10
-2.3438e+06,NaN,NaN,2.3818e-10
-2.3242e+06,NaN,NaN,3.8982e-10
-2.3047e+06,NaN,NaN,6.3694e-10
-2.2852e+06,NaN,NaN,1.039e-09
-2.2656e+06,NaN,NaN,1.6919e-09
-2.2461e+06,NaN,NaN,2.7503e-09
-2.2266e+06,NaN,NaN,4.4629e-09
-2.207e+06,NaN,NaN,7.2288e-09
-2.1875e+06,NaN,NaN,1.1688e-08
-2.168e+06,NaN,NaN,1.8861e-08
-2.1484e+06,NaN,NaN,3.038e-08
-2.1289e+06,NaN,NaN,4.8838e-08
-2.1094e+06,NaN,NaN,7.8355e-08
-2.0898e+06,NaN,NaN,1.2546e-07
-2.0703e+06,NaN,NaN,2.0045e-07
-2.0508e+06,NaN,NaN,3.196e-07
-2.0313e+06,NaN,NaN,5.0847e-07
-2.0117e+06,NaN,NaN,8.0711e-07
-1.9922e+06,NaN,NaN,1.2782e-06
-1.9727e+06,NaN,NaN,2.0195e-06
-1.9531e+06,NaN,NaN,3.1828e-06
-1.9336e+06,NaN,NaN,5.0035e-06
-1.9141e+06,NaN,NaN,7.8449e-06
-1.8945e+06,NaN,NaN,1.2266e-05
-1.875e+06,NaN,NaN,1.9125e-05
-1.8555e+06,NaN,NaN,2.9729e-05
-1.8359e+06,NaN,NaN,4.6069e-05
-1.8164e+06,NaN,NaN,7.1153e-05
-1.7969e+06,NaN,NaN,0.00010951
-1.7773e+06,NaN,NaN,0.00016793
-1.7578e+06,NaN,NaN,0.00025649
-1.7383e+06,NaN,NaN,0.00039009
-1.7188e+06,NaN,NaN,0.00059057
-1.6992e+06,NaN,NaN,0.00088964
-1.6797e+06,NaN,NaN,0.0013329
-1.6602e+06,NaN,NaN,0.0019849
-1.6406e+06,NaN,NaN,0.0029364
-1.6211e+06,NaN,NaN,0.0043116
-1.6016e+06,NaN,NaN,0.0062778
-1.582e+06,NaN,NaN,0.0090542
-1.5625e+06,NaN,NaN,0.012918
-1.543e+06,NaN,NaN,0.018204
-1.5234e+06,NaN,NaN,0.025294
-1.5039e+06,NaN,NaN,0.034589
-1.4844e+06,NaN,NaN,0.046458
-1.4648e+06,NaN,NaN,0.061169
-1.4453e+06,NaN,NaN,0.078813
-1.4258e+06,NaN,NaN,0.099238
-1.4063e+06,NaN,NaN,0.12203
-1.3867e+06,NaN,NaN,0.14654
-1.3672e+06,NaN,NaN,0.17199
-1.3477e+06,NaN,NaN,0.19755
-1.3281e+06,NaN,NaN,0.2225
-1.3086e+06,NaN,NaN,0.24625
-1.2891e+06,NaN,NaN,0.26837
-1.2695e+06,NaN,NaN,0.28864
-1.25e+06,NaN,NaN,0.30695
-1.2305e+06,NaN,NaN,0.32331
-1.2109e+06,NaN,NaN,0.33778
-1.1914e+06,NaN,NaN,0.35051
-1.1719e+06,NaN,NaN,0.36163
-1.1523e+06,NaN,NaN,0.3713
-1.1328e+06,NaN,NaN,0.37968
-1.1133e+06,NaN,NaN,0.38692
-1.0938e+06,NaN,NaN,0.39316
-1.0742e+06,NaN,NaN,0.39853
-1.0547e+06,NaN,NaN,0.40314
-1.0352e+06,NaN,NaN,0.40709
-1.0156e+06,NaN,NaN,0.41047
-9.9609e+05,NaN,NaN,0.41336
-9.7656e+05,NaN,NaN,0.41584
-9.5703e+05,NaN,NaN,0.41795
-9.375e+05,NaN,NaN,0.41976
-9.1797e+05,NaN,NaN,0.4213
-8.9844e+05,NaN,NaN,0.42261
-8.7891e+05,NaN,NaN,0.42373
-8.5938e+05,NaN,NaN,0.42469
-8.3984e+05,NaN,NaN,0.4255
-8.2031e+05,NaN,NaN,0.4262
-8.0078e+05,NaN,NaN,0.42679
-7.8125e+05,NaN,NaN,0.42729
-7.6172e+05,NaN,NaN,0.42772
-7.4219e+05,NaN,NaN,0.42809
-7.2266e+05,NaN,NaN,0.4284
-7.0313e+05,NaN,NaN,0.42866
-6.8359e+05,NaN,NaN,0.42889
-6.6406e+05,NaN,NaN,0.42908
-6.4453e+05,NaN,NaN,0.42924
-6.25e+05,NaN,NaN,0.42938
-6.0547e+05,NaN,NaN,0.4295
-5.8594e+05,NaN,NaN,0.4296
-5.6641e+05,NaN,NaN,0.42969
-5.4688e+05,NaN,NaN,0.42976
-5.2734e+05,NaN,NaN,0.42982
-5.0781e+05,NaN,NaN,0.42988
-4.8828e+05,NaN,NaN,0.42992
-4.6875e+05,NaN,NaN,0.42996
-4.4922e+05,NaN,NaN,0.42999
-4.2969e+05,NaN,NaN,0.43002
-4.1016e+05,NaN,NaN,0.43005
-3.9063e+05,NaN,NaN,0.43007
-3.7109e+05,NaN,NaN,0.43008
-3.5156e+05,NaN,NaN,0.4301
-3.3203e+05,NaN,NaN,0.43011
-3.125e+05,NaN,NaN,0.43012
-2.9297e+05,NaN,NaN,0.43013
-2.7344e+05,NaN,NaN,0.43014
-2.5391e+05,NaN,NaN,0.43014
-2.3438e+05,NaN,NaN,0.43015
-2.1484e+05,NaN,NaN,0.43015
-1.9531e+05,NaN,NaN,0.43016
-1.7578e+05,NaN,NaN,0.43016
-1.5625e+05,NaN,NaN,0.43017
-1.3672e+05,NaN,NaN,0.43017
-1.1719e+05,NaN,NaN,0.43017
-97656,NaN,NaN,0.43017
-78125,NaN,NaN,0.43017
-58594,NaN,NaN,0.43017
-39063,NaN,NaN,0.43017
-19531,NaN,NaN,0.43017
0,0.0050003,NaN,0.43017
19531,0.025001,976.51,0.43017
39063,0.045002,976.51,0.43017
58594,0.085004,488.26,0.43017
78125,0.17501,217,0.43017
97656,0.36002,105.57,0.43017
1.1719e+05,0.70504,56.609,0.43017
1.3672e+05,1.2201,37.923,0.43017
1.5625e+05,1.8801,29.591,0.43017
1.7578e+05,2.6551,25.2,0.43016
1.9531e+05,3.5152,22.71,0.43016
2.1484e+05,4.4402,21.114,0.43015
2.3438e+05,5.4203,19.929,0.43015
2.5391e+05,6.4403,19.147,0.43014
2.7344e+05,7.4904,18.6,0.43014
2.9297e+05,8.5704,18.084,0.43013
3.125e+05,9.6705,17.755,0.43012
3.3203e+05,10.786,17.516,0.43011
3.5156e+05,11.916,17.283,0.4301
3.7109e+05,13.056,17.132,0.43008
3.9063e+05,14.206,16.983,0.43007
4.1016e+05,15.366,16.836,0.43005
4.2969e+05,16.531,16.764,0.43002
4.4922e+05,17.701,16.693,0.42999
4.6875e+05,18.871,16.693,0.42996
4.8828e+05,21.036,9.0209,0.42992
5.0781e+05,21.636,32.55,0.42988
5.2734e+05,23.251,12.093,0.42982
5.4688e+05,23.816,34.567,0.42976
5.6641e+05,25.346,12.765,0.42969
5.8594e+05,25.946,32.55,0.4296
6.0547e+05,27.446,13.02,0.4295
6.25e+05,29.056,12.131,0.42938
6.4453e+05,29.561,38.674,0.42924
6.6406e+05,31.147,12.322,0.42908
6.8359e+05,31.677,36.85,0.42889
7.0313e+05,33.237,12.519,0.42866
7.2266e+05,33.797,34.875,0.4284
7.4219e+05,35.337,12.682,0.42809
7.6172e+05,35.937,32.55,0.42772
7.8125e+05,37.447,12.934,0.42729
8.0078e+05,39.047,12.206,0.42679
8.2031e+05,39.537,39.858,0.4262
8.3984e+05,41.132,12.245,0.4255
8.5938e+05,41.652,37.558,0.42469
8.7891e+05,43.232,12.361,0.42373
8.9844e+05,43.777,35.835,0.42261
9.1797e+05,45.307,12.765,0.4213
9.375e+05,45.887,33.673,0.41976
9.5703e+05,47.402,12.891,0.41795
9.7656e+05,49.022,12.056,0.41584
9.9609e+05,49.502,40.688,0.41336
1.0156e+06,51.093,12.283,0.41047
1.0352e+06,51.598,38.674,0.40709
1.0547e+06,53.188,12.283,0.40314
1.0742e+06,53.713,37.201,0.39853
1.0938e+06,55.268,12.56,0.39316
1.1133e+06,55.828,34.875,0.38692
1.1328e+06,57.368,12.682,0.37968
1.1523e+06,57.953,33.385,0.3713
1.1719e+06,59.443,13.108,0.36163
1.1914e+06,61.053,12.131,0.35051
1.2109e+06,61.543,39.858,0.33778
1.2305e+06,63.138,12.245,0.32331
1.25e+06,63.648,38.295,0.30695
1.2695e+06,65.208,12.519,0.28864
1.2891e+06,65.748,36.167,0.26837
1.3086e+06,67.303,12.56,0.24625
1.3281e+06,67.868,34.567,0.2225
1.3477e+06,69.383,12.891,0.19755
1.3672e+06,69.988,32.281,0.17199
1.3867e+06,71.489,13.02,0.14654
1.4063e+06,73.074,12.322,0.12203
1.4258e+06,73.569,39.455,0.099238
1.4453e+06,75.154,12.322,0.078813
1.4648e+06,75.674,37.558,0.061169
1.4844e+06,77.239,12.479,0.046458
1.5039e+06,77.779,36.167,0.034589
1.5234e+06,79.314,12.723,0.025294
1.543e+06,79.889,33.966,0.018204
1.5625e+06,81.409,12.849,0.012918
1.582e+06,83.024,12.093,0.0090542
1.6016e+06,83.494,41.554,0.0062778
1.6211e+06,85.094,12.206,0.0043116
1.6406e+06,85.589,39.455,0.0029364
1.6602e+06,87.164,12.4,0.0019849
1.6797e+06,87.684,37.558,0.0013329
1.6992e+06,89.249,12.479,0.00088964
1.7188e+06,89.799,35.51,0.00059057
1.7383e+06,91.345,12.641,0.00039009
1.7578e+06,91.92,33.966,0.00025649
1.7773e+06,93.415,13.064,0.00016793
