x,zetaTime_1e-05,zetaRate_1e-05,zeta
-7.5e+06,NaN,NaN,3.0945e-58
-7.4805e+06,NaN,NaN,6.9154e-58
-7.4609e+06,NaN,NaN,1.5452e-57
-7.4414e+06,NaN,NaN,3.4519e-57
-7.4219e+06,NaN,NaN,7.7105e-57
-7.4023e+06,NaN,NaN,1.722e-56
-7.3828e+06,NaN,NaN,3.845e-56
-7.3633e+06,NaN,NaN,8.5842e-56
-7.3438e+06,NaN,NaN,1.9161e-55
-7.3242e+06,NaN,NaN,4.2764e-55
-7.3047e+06,NaN,NaN,9.5425e-55
-7.2852e+06,NaN,NaN,2.129e-54
-7.2656e+06,NaN,NaN,4.749e-54
-7.2461e+06,NaN,NaN,1.0592e-53
-7.2266e+06,NaN,NaN,2.3618e-53
-7.207e+06,NaN,NaN,5.2656e-53
-7.1875e+06,NaN,NaN,1.1738e-52
-7.168e+06,NaN,NaN,2.616e-52
-7.1484e+06,NaN,NaN,5.8293e-52
-7.1289e+06,NaN,NaN,1.2987e-51
-7.1094e+06,NaN,NaN,2.893e-51
-7.0898e+06,NaN,NaN,6.443e-51
-7.0703e+06,NaN,NaN,1.4347e-50
-7.0508e+06,NaN,NaN,3.1941e-50
-7.0313e+06,NaN,NaN,7.1099e-50
-7.0117e+06,NaN,NaN,1.5823e-49
-6.9922e+06,NaN,NaN,3.5208e-49
-6.9727e+06,NaN,NaN,7.8327e-49
-6.9531e+06,NaN,NaN,1.7422e-48
-6.9336e+06,NaN,NaN,3.8745e-48
-6.9141e+06,NaN,NaN,8.6146e-48
-6.8945e+06,NaN,NaN,1.9151e-47
-6.875e+06,NaN,NaN,4.2564e-47
-6.8555e+06,NaN,NaN,9.4585e-47
-6.8359e+06,NaN,NaN,2.1014e-46
-6.8164e+06,NaN,NaN,4.6679e-46
-6.7969e+06,NaN,NaN,1.0367e-45
-6.7773e+06,NaN,NaN,2.3019e-45
-6.7578e+06,NaN,NaN,5.1102e-45
-6.7383e+06,NaN,NaN,1.1342e-44
-6.7188e+06,NaN,NaN,2.517e-44
-6.6992e+06,NaN,NaN,5.5845e-44
-6.6797e+06,NaN,NaN,1.2388e-43
-6.6602e+06,NaN,NaN,2.7473e-43
-6.6406e+06,NaN,NaN,6.0916e-43
-6.6211e+06,NaN,NaN,1.3504e-42
-6.6016e+06,NaN,NaN,2.993e-42
-6.582e+06,NaN,NaN,6.6323e-42
-6.5625e+06,NaN,NaN,1.4694e-41
-6.543e+06,NaN,NaN,3.2546e-41
-6.5234e+06,NaN,NaN,7.2074e-41
-6.5039e+06,NaN,NaN,1.5958e-40
-6.4844e+06,NaN,NaN,3.5323e-40
-6.4648e+06,NaN,NaN,7.8172e-40
-6.4453e+06,NaN,NaN,1.7296e-39
-6.4258e+06,NaN,NaN,3.8261e-39
-6.4063e+06,NaN,NaN,8.4619e-39
-6.3867e+06,NaN,NaN,1.871e-38
-6.3672e+06,NaN,NaN,4.1361e-38
-6.3477e+06,NaN,NaN,9.1411e-38
-6.3281e+06,NaN,NaN,2.0198e-37
-6.3086e+06,NaN,NaN,4.4619e-37
-6.2891e+06,NaN,NaN,9.8545e-37
-6.2695e+06,NaN,NaN,2.1759e-36
-6.25e+06,NaN,NaN,4.8034e-36
-6.2305e+06,NaN,NaN,1.0601e-35
-6.2109e+06,NaN,NaN,2.3391e-35
-6.1914e+06,NaN,NaN,5.1598e-35
-6.1719e+06,NaN,NaN,1.1379e-34
-6.1523e+06,NaN,NaN,2.509e-34
-6.1328e+06,NaN,NaN,5.5305e-34
-6.1133e+06,NaN,NaN,1.2188e-33
-6.0938e+06,NaN,NaN,2.6852e-33
-6.0742e+06,NaN,NaN,5.9144e-33
-6.0547e+06,NaN,NaN,1.3024e-32
-6.0352e+06,NaN,NaN,2.8671e-32
-6.0156e+06,NaN,NaN,6.3103e-32
-5.9961e+06,NaN,NaN,1.3884e-31
-5.9766e+06,NaN,NaN,3.0542e-31
-5.957e+06,NaN,NaN,6.7165e-31
-5.9375e+06,NaN,NaN,1.4766e-30
-5.918e+06,NaN,NaN,3.2455e-30
-5.8984e+06,NaN,NaN,7.1313e-30
-5.8789e+06,NaN,NaN,1.5665e-29
-5.8594e+06,NaN,NaN,3.4401e-29
-5.8398e+06,NaN,NaN,7.5524e-29
-5.8203e+06,NaN,NaN,1.6576e-28
-5.8008e+06,NaN,NaN,3.6369e-28
-5.7813e+06,NaN,NaN,7.9775e-28
-5.7617e+06,NaN,NaN,1.7493e-27
-5.7422e+06,NaN,NaN,3.8347e-27
-5.7227e+06,NaN,NaN,8.4036e-27
-5.7031e+06,NaN,NaN,1.841e-26
-5.6836e+06,NaN,NaN,4.032e-26
-5.6641e+06,NaN,NaN,8.8275e-26
-5.6445e+06,NaN,NaN,1.932e-25
-5.625e+06,NaN,NaN,4.2272e-25
-5.6055e+06,NaN,NaN,9.2458e-25
-5.5859e+06,NaN,NaN,2.0216e-24
-5.5664e+06,NaN,NaN,4.4186e-24
-5.5469e+06,NaN,NaN,9.6544e-24
-5.5273e+06,NaN,NaN,2.1087e-23
-5.5078e+06,NaN,NaN,4.6041e-23
-5.4883e+06,NaN,NaN,1.0049e-22
-5.4688e+06,NaN,NaN,2.1925e-22
